blend_id,smiles,oil_property_param_value
49743a76-a614-11ee-9529-005056921581,CCCCC,103300.0
49743a76-a614-11ee-9529-005056921581,CCCC(C)CCC,103300.0
49743a76-a614-11ee-9529-005056921581,CCC(C(OC)=O)CC,103300.0
49743a76-a614-11ee-9529-005056921581,CCCCC(C)C,103300.0
49743a76-a614-11ee-9529-005056921581,CC(C)(C)CC(C)(C)C,103300.0
f320857e-dce9-11ed-803e-005056921581,CCCCC,103100.0
f320857e-dce9-11ed-803e-005056921581,CCCC(C)CCC,103100.0
f320857e-dce9-11ed-803e-005056921581,CCC(C(OC)=O)CC,103100.0
f320857e-dce9-11ed-803e-005056921581,CCCCC(C)C,103100.0
f320857e-dce9-11ed-803e-005056921581,CC(C)CCCCC,103100.0
f320857e-dce9-11ed-803e-005056921581,CC(C)(C)CC(C)(C)C,103100.0
58e62d54-c6fc-11ed-863f-005056921581,CCCC(C)CCC,161250.0
58e62d54-c6fc-11ed-863f-005056921581,CCC(C(OC)=O)CC,161250.0
58e62d54-c6fc-11ed-863f-005056921581,CC(C)CCCCC,161250.0
0366a302-d9cd-11ed-96ad-005056921581,CCCCCC,6806.0
0366a302-d9cd-11ed-96ad-005056921581,CC(OCCCCOC)=O,6806.0
0366a302-d9cd-11ed-96ad-005056921581,CC(C(OCCCC)=O)C(OCCCC)=O,6806.0
0366a302-d9cd-11ed-96ad-005056921581,CCCCCCC(C(C)CCCCCCC)CC(C)CCCCCC,6806.0
388fac92-e18d-11ec-8487-005056921581,CCC(C)CCCC,116600.0
388fac92-e18d-11ec-8487-005056921581,CCCCC,116600.0
388fac92-e18d-11ec-8487-005056921581,CCCC(C)CCC,116600.0
388fac92-e18d-11ec-8487-005056921581,CCC(C(OC)=O)CC,116600.0
388fac92-e18d-11ec-8487-005056921581,CCCCC(C)C,116600.0
388fac92-e18d-11ec-8487-005056921581,CC(C)CCCCC,116600.0
9344ed20-2177-11ee-97a6-005056921581,CCC(C)(C)CC,90075.0
9344ed20-2177-11ee-97a6-005056921581,O=C(OC)C(C)(CCC)C,90075.0
9344ed20-2177-11ee-97a6-005056921581,CCCCC(C)C,90075.0
9344ed20-2177-11ee-97a6-005056921581,CC(C)CCCCC,90075.0
9344ed20-2177-11ee-97a6-005056921581,CC(C)(C)CC(C)(C)C,90075.0
1ea31690-1a2f-11ed-8e4b-005056921581,CCCCC,26595.0
1ea31690-1a2f-11ed-8e4b-005056921581,CCCC(C)CCC,26595.0
1ea31690-1a2f-11ed-8e4b-005056921581,CCC(C(OC)=O)CC,26595.0
1ea31690-1a2f-11ed-8e4b-005056921581,CCCCCC,26595.0
b6d34fba-853c-11ee-9d2f-005056921581,CCCC(C)CCC,7507.0
b6d34fba-853c-11ee-9d2f-005056921581,CCC(C(OC)=O)CC,7507.0
b6d34fba-853c-11ee-9d2f-005056921581,CCCCCCC,7507.0
01d12ce2-ddec-11ed-8992-005056921581,CCC(C(OC)=O)CC,12530.0
01d12ce2-ddec-11ed-8992-005056921581,CCCCCC,12530.0
01d12ce2-ddec-11ed-8992-005056921581,CC(C(OCCCC)=O)C(OCCCC)=O,12530.0
01d12ce2-ddec-11ed-8992-005056921581,CCCCCCC(C(C)CCCCCCC)CC(C)CCCCCC,12530.0
b0a0604e-abab-11ed-8d81-005056921581,CCC(C)CCCC,86845.0
b0a0604e-abab-11ed-8d81-005056921581,CCC(C)(C)CC,86845.0
b0a0604e-abab-11ed-8d81-005056921581,O=C(OC)C(C)(CCC)C,86845.0
b0a0604e-abab-11ed-8d81-005056921581,CCCCC(C)C,86845.0
c547b7d8-c94f-11ed-973e-005056921581,CCCC(C)CCC,14565.0
65074114-a6d5-11ed-9153-005056921581,CCCC(C)CCC,125000.0
65074114-a6d5-11ed-9153-005056921581,CCC(C(OC)=O)CC,125000.0
65074114-a6d5-11ed-9153-005056921581,CC(C)CCCCC,125000.0
5b83373e-a788-11ed-992a-005056921581,CCCCC,131900.0
5b83373e-a788-11ed-992a-005056921581,CCCC(C)CCC,131900.0
5b83373e-a788-11ed-992a-005056921581,CCC(C(OC)=O)CC,131900.0
5b83373e-a788-11ed-992a-005056921581,CCCCC(C)C,131900.0
5b83373e-a788-11ed-992a-005056921581,CC(C)CCCCC,131900.0
5b83373e-a788-11ed-992a-005056921581,CC(C)(C)CC(C)(C)C,131900.0
49f9770e-5e3b-11ec-803b-005056921581,CCC(C)CCCC,34500.0
49f9770e-5e3b-11ec-803b-005056921581,CCC(C)(C)CC,34500.0
49f9770e-5e3b-11ec-803b-005056921581,O=C(CC)OCCCCCOC,34500.0
1368a606-90da-11ed-8e59-005056921581,CCCCC,12515.0
1368a606-90da-11ed-8e59-005056921581,CCCC(C)CCC,12515.0
1368a606-90da-11ed-8e59-005056921581,CCCCCC,12515.0
e716349a-adcd-11ed-996a-005056921581,CCCCC,131300.0
e716349a-adcd-11ed-996a-005056921581,CCCC(C)CCC,131300.0
e716349a-adcd-11ed-996a-005056921581,CCC(C(OC)=O)CC,131300.0
